piano,пианино,,
educator,воспитатель,,
calculus,исчисление,,
sunrise,восход,,
Brad,,,
depressed,подавленный,подавленный,подавленная
caterpillar,гусеница,,
family,семья,,
zinnia,цинния,,
crocus,крокус,,
freedom,свобода,,
always,всегда,,
Stephen,,,
Tyree,,,
divorce,развод,,
magnolia,магнолия,,
Kareem,,,
parents,родители,,
cockroach,таракан,,
war,война,,
Heather,,,
mace,булава,,
engineer,инженер,,
agony,агония,,
therapist,терапевт,,
specialist,специалист,,
Rachel,,,
experiment,эксперимент,,
peace,мир,,
chemistry,химия,,
Joan,,,
Jonathan,,,
corporation,корпорация,,
Keisha,,,
clover,клевер,,
roach,плотва,,
sword,меч,,
Nichelle,,,
pathologist,патолог,,
poison,яд,,
Emily,,,
weevil,долгоносик,,
Latoya,,,
hers,ее,,
bagpipe,волынка,,
Anne,,,
Wardell,,,
lilac,сирень,,
marigold,ноготки,,
trombone,тромбон,,
harpoon,гарпун,,
stink,вонь,,
he,он,,
hygienist,гигиенист,,
planner,планировщик,,
caress,ласка,,
lawyer,адвокат,,
pansy,анютины глазки,,
Neil,,,
chronic,хронический,хронический,хроническая
business,бизнес,,
Lamont,,,
carnation,гвоздика,,
Torrance,,,
cousins,кузены,,
Nancy,,,
electrician,электрик,,
tulip,тюльпан,,
Alan,,,
drama,драма,,
Jill,,,
Jermaine,,,
nasty,противный,противный,противная
career,карьера,,
Laurie,,,
Jamal,,,
librarian,библиотекарь,,
manager,менеджер,,
fiddle,обманывать,,
teargas,слезоточивый газ,,
Roger,,,
petunia,петуния,,
worker,работник,работник,работница
flea,блоха,,
Jamel,,,
Megan,,,
moth,мотылек,,
Latisha,,,
awful,ужасный,ужасный,ужасная
bassoon,фагот,,
tragedy,трагедия,,
assault,нападение,,
Donna,,,
son,сын,,
her,ее,,
sick,больной,больной,больная
illness,болезнь,,
Amy,,,
horsefly,слепень,,
grandfather,дед,,
scientist,ученый,,
cheer,ура,,
mandolin,мандолина,,
Harry,,,
lily,лилия,,
dynamite,динамит,,
orchid,орхидея,,
iris,ирис,,
lute,лютня,,
art,искусство,,
grandmother,бабушка,,
hatred,ненависть,,
harmonica,губная гармоника,,
Einstein,,,
Deion,,,
astronomy,астрономия,,
disaster,катастрофа,,
shotgun,дробовик,,
daughter,дочь,,
violet,фиалка,,
aunt,тетя,,
Theo,,,
professional,профессионал,,
Amanda,,,
arrow,стрела,,
Andrew,,,
Josh,,,
whip,кнут,,
nurse,медсестра,,
prison,тюрьма,,
machinist,машинист,машинист,машинистка
paradise,рай,,
John,,,
tearful,плачущий,плачущий,плачущая
Kenya,,,
Todd,,,
Lauren,,,
miserable,несчастный,несчастный,несчастная
Carrie,,,
gnat,комар,,
mechanic,механик,,
forever,навсегда,,
centipede,сороконожка,,
disease,болезнь,,
Jerome,,,
boy,мальчик,,
counselor,консультант,,
terrible,ужасный,ужасный,ужасная
Adam,,,
Sarah,,,
Justin,,,
murder,убийство,,
Mike,,,
carpenter,столяр,,
novel,роман,,
daffodil,желтый нарцисс,,
woman,женщина,,
flute,флейта,,
trumpet,труба,,
Hakim,,,
health,здоровье,,
vacation,отпуск,,
Greg,,,
practitioner,практикующий врач,,
instructor,инструктор,,
investigator,следователь,,
math,математический,математический,математическая
diamond,бриллиант,,
architect,архитектор,,
rotten,гнилой,гнилой,гнилая
slingshot,рогатка,,
azalea,азалия,,
physics,физика,,
firearm,огнестрельное оружие,,
cricket,крикет,,
jail,тюрьма,,
Geoffrey,,,
unstable,неустойчивый,неустойчивый,неустойчивая
NASA,,,
Yolanda,,,
filth,грязь,,
veterinarian,ветеринарный врач,,
clarinet,кларнет,,
surgeon,хирург,,
baker,пекарь,,
Frank,,,
prolonged,длительный,длительный,длительная
receptionist,регистратор,,
brother,брат,,
Ebony,,,
missile,ракета,,
pharmacist,фармацевт,,
Brendan,,,
crash,авария,,
rifle,винтовка,,
wonderful,удивительный,удивительный,удивительная
pollute,загрязнять,,
Kate,,,
Aisha,,,
sad,грустный,грустный,грустная
grief,горе,,
she,она,,
cannon,пушка,,
uncle,дядя,,
management,управление,,
nutritionist,диетолог,,
dagger,кинжал,,
cello,виолончель,,
fly,полет,,
girl,девочка,,
marriage,брак,,
aster,астра,,
bongo,бонго,,
beetle,жук,,
father,отец,,
clerk,клерк,,
blue-bell,колокольчик,,
advisor,консультант,,
peony,пион,,
spider,паук,,
Tia,,,
diploma,диплом,,
psychologist,психолог,,
Lakisha,,,
brief,краткий,краткий,краткая
Paul,,,
axe,топор,,
Shaniqua,,,
death,смерть,,
bedbug,клоп,,
chemist,химик,,
gentle,нежный,нежный,нежная
paralegal,помощник юриста,,
daisy,маргаритка,,
dance,танец,,
virus,вирус,,
paramedic,фельдшер,,
failure,отказ,,
rose,,,
occasional,случайный,случайный,случайная
harpsichord,клавесин,,
relatives,родственники,,
female,женщина,,
saxophone,саксофон,,
Stephanie,,,
hopeless,безнадежный,безнадежный,безнадежная
bomb,бомба,,
gladiola,гладиолус,,
Kevin,,,
pistol,пистолет,,
lucky,счастливый,счастливый,счастливая
office,офис,,
Tyrone,,,
poetry,поэзия,,
ugly,уродливый,уродливый,уродливая
Jack,,,
vomit,рвота,,
tuba,туба,,
executive,член руководства,,
laughter,смех,,
Jeff,,,
Darnell,,,
joy,радость,,
happy,счастливый,счастливый,счастливая
Ann,,,
Betsy,,,
loyal,лояльный,лояльный,лояльная
Ellen,,,
maggot,личинка,,
Tanisha,,,
administrator,администратор,,
bartender,бармен,,
Kristin,,,
symphony,симфония,,
rainbow,радуга,,
Lavon,,,
violin,скрипка,,
Marcellus,,,
plumber,водопроводчик,,
bell,колокол,,
dragonfly,стрекоза,,
gun,пистолет,,
honest,честный,честный,честная
buttercup,лютик,,
miracle,чудо,,
Steve,,,
technician,техник,,
geometry,геометрия,,
Shakespeare,,,
abuse,злоупотребление,,
knife,нож,,
sculpture,скульптура,,
Yvette,,,
supervisor,руководитель,,
numbers,числа,,
Lionel,,,
locust,саранча,,
fleeting,скоротечный,скоротечный,скоротечная
technology,технология,,
spear,копье,,
hornet,шершень,,
gift,подарок,,
Jasmine,,,
stable,стабильный,стабильный,стабильная
poppy,мак,,
officer,должностное лицо,,
examiner,экзаменатор,,
friend,друг,друг,подруга
kill,убийство,,
drum,барабан,,
Melanie,,,
banjo,банджо,,
hatchet,топорик,,
Ryan,,,
mosquito,комар,,
Terrence,,,
mother,мать,,
short-term,краткосрочный,краткосрочный,краткосрочная
computation,вычисление,,
hairdresser,парикмахер,,
wedding,свадьба,,
harp,арфа,,
Bill,,,
salesperson,продавец,,
Malika,,,
Diana,,,
Brett,,,
club,клуб,,
children,дети,,
oboe,гобой,,
him,ему,,
sickness,болезнь,,
gloomy,мрачный,мрачный,мрачная
tank,бак,,
Lamar,,,
janitor,уборщик,,
Allison,,,
horrible,кошмарный,кошмарный,кошмарная
teacher,учитель,учитель,учительница
poverty,бедность,,
equations,уравнения,,
programmer,программист,,
impermanent,непостоянный,непостоянный,непостоянная
male,мужчина,,
Peter,,,
wasp,оса,,
science,наука,,
Colleen,,,
influenza,грипп,,
Malik,,,
Lisa,,,
bee,пчела,,
Tamika,,,
accident,авария,,
accountant,бухгалтер,,
pleasure,удовольствие,,
grenade,граната,,
home,,,
variable,изменчивый,изменчивый,изменчивая
man,мужчина,,
Rasheed,,,
termite,термит,,
Alphonse,,,
guitar,гитара,,
blackfly,тля,,
Matthew,,,
Katie,,,
heaven,небо,,
literature,литература,,
inspector,инспектор,,
addition,сложение,,
sister,сестра,,
evil,злой,злой,злая
persistent,упорный,упорный,упорная
Hank,,,
Courtney,,,
constant,постоянная,постоянный,постоянная
Shereen,,,
honor,честь,,
appraiser,оценщик,,
love,любовь,,
hyacinth,гиацинт,,
Meredith,,,
Leroy,,,
horn,рог,,
ant,муравей,,
cancer,рак,,
tarantula,тарантул,,
blade,лезвие,,
algebra,алгебра,,
viola,альт,,
physician,врач,,
Alonzo,,,
his,его,,
salary,заработная плата,,